KEYS,zh-Hans
Items.ItemName.GlassKiln,玻璃窑
Items.ItemName.LihzahrdFurnace,丛林蜥蜴熔炉
Items.ItemName.LivingLoom,生命木织机
Items.ItemName.SkyMill,天磨
Items.ItemName.IceMachine,冰雪机
Items.ItemName.BeetleHelmet,甲虫头盔
Items.ItemName.IronBar,铁锭
Items.ItemName.Sunfury,阳炎之怒
Items.ItemName.BeetleScaleMail,甲虫铠甲
Items.ItemName.BeetleShell,甲虫壳
Items.ItemName.BeetleLeggings,甲虫护腿
Items.ItemName.SteampunkBoiler,蒸汽朋克锅炉
Items.ItemName.HoneyDispenser,蜂蜜分配机
Items.ItemName.Penguin,企鹅
Items.ItemName.PenguinCage,企鹅笼
Items.ItemName.WormCage,蠕虫笼
Items.ItemName.Terrarium,泰拉制笼机
Items.ItemName.SuperManaPotion,超级魔力药水
Items.ItemName.Hellforge,地狱熔炉
Items.ItemName.EbonwoodFence,乌木栅栏
Items.ItemName.RichMahoganyFence,红木栅栏
Items.ItemName.PearlwoodFence,珍珠木栅栏
Items.ItemName.ShadewoodFence,暗影木栅栏
Items.ItemName.BrickLayer,砖层
Items.ItemName.ExtendoGrip,加长握爪
Items.ItemName.PaintSprayer,喷漆器
Items.ItemName.PortableCementMixer,便携式水泥搅拌机
Items.ItemName.BeetleHusk,甲虫外壳
Items.ItemName.CelestialMagnet,天界磁石
Items.ItemName.ClayPot,粘土盆
Items.ItemName.CelestialEmblem,天界徽章
Items.ItemName.CelestialCuffs,天界手铐
Items.ItemName.PeddlersHat,商贩帽
Items.ItemName.PulseBow,脉冲弓
Items.ItemName.NaturesGift,大自然的恩赐
Items.ItemName.Bed,床
Items.ItemName.Silk,丝绸
Items.ItemName.DynastyTable,王朝桌
Items.ItemName.LesserRestorationPotion,弱效恢复药水
Items.ItemName.DynastyWood,王朝木
Items.ItemName.RedDynastyShingles,红王朝瓦
Items.ItemName.BlueDynastyShingles,蓝王朝瓦
Items.ItemName.WhiteDynastyWall,白王朝墙
Items.ItemName.BlueDynastyWall,蓝王朝墙
Items.ItemName.DynastyDoor,王朝门
Items.ItemName.Sake,清酒
Items.ItemName.PadThai,泰式炒面
Items.ItemName.Pho,越南河粉
Items.ItemName.Revolver,左轮手枪
Items.ItemName.RestorationPotion,恢复药水
Items.ItemName.Gatligator,鳄鱼机关枪
Items.ItemName.ArcaneRuneWall,奥术神符墙
Items.ItemName.WaterGun,水枪
Items.ItemName.Katana,武士刀
Items.ItemName.UltrabrightTorch,超亮火把
Items.ItemName.MagicHat,魔法帽
Items.ItemName.DiamondRing,钻石戒指
Items.ItemName.Gi,稽古衣
Items.ItemName.Kimono,和服
Items.ItemName.JungleHat,丛林帽
Items.ItemName.BeetleWings,甲虫之翼
Items.ItemName.TigerSkin,虎皮
Items.ItemName.LeopardSkin,豹皮
Items.ItemName.ZebraSkin,斑马皮
Items.ItemName.CrimsonCloak,猩红斗篷
Items.ItemName.MysteriousCape,神秘披风
Items.ItemName.RedCape,红披风
Items.ItemName.WinterCape,冬季披风
Items.ItemName.WoodFishingPole,木钓竿
Items.ItemName.JungleShirt,丛林衣
Items.ItemName.Bass,鲈鱼
Items.ItemName.ReinforcedFishingPole,强化钓竿
Items.ItemName.FiberglassFishingPole,玻璃钢钓竿
Items.ItemName.FisherofSouls,灵魂钓手
Items.ItemName.GoldenFishingRod,金钓竿
Items.ItemName.MechanicsRod,机械师钓竿
Items.ItemName.SittingDucksFishingRod,冤大头钓竿
Items.ItemName.Trout,鳟鱼
Items.ItemName.Salmon,三文鱼
Items.ItemName.AtlanticCod,大西洋鳕鱼
Items.ItemName.Gel,凝胶
Items.ItemName.JunglePants,丛林裤
Items.ItemName.Tuna,金枪鱼
Items.ItemName.RedSnapper,红鲷鱼
Items.ItemName.NeonTetra,霓虹脂鲤
Items.ItemName.ArmoredCavefish,装甲洞穴鱼
Items.ItemName.Damselfish,雀鲷
Items.ItemName.CrimsonTigerfish,猩红虎鱼
Items.ItemName.FrostMinnow,寒霜鲦鱼
Items.ItemName.PrincessFish,公主鱼
Items.ItemName.GoldenCarp,金鲤鱼
Items.ItemName.SpecularFish,镜面鱼
Items.ItemName.MoltenHelmet,熔岩头盔
Items.ItemName.Prismite,七彩矿鱼
Items.ItemName.VariegatedLardfish,斑驳油鱼
Items.ItemName.FlarefinKoi,闪鳍锦鲤
Items.ItemName.DoubleCod,双鳍鳕鱼
Items.ItemName.Honeyfin,蜂蜜鱼
Items.ItemName.Obsidifish,黑曜石鱼
Items.ItemName.Shrimp,虾
Items.ItemName.ChaosFish,混沌鱼
Items.ItemName.Ebonkoi,黑檀锦鲤
Items.ItemName.Hemopiranha,血腥食人鱼
Items.ItemName.MoltenBreastplate,熔岩胸甲
Items.ItemName.Rockfish,岩鱼锤
Items.ItemName.Stinkfish,臭味鱼
Items.ItemName.MiningPotion,挖矿药水
Items.ItemName.HeartreachPotion,拾心药水
Items.ItemName.CalmingPotion,镇静药水
Items.ItemName.BuilderPotion,建筑工药水
Items.ItemName.TitanPotion,泰坦药水
Items.ItemName.FlipperPotion,脚蹼药水
Items.ItemName.SummoningPotion,召唤药水
Items.ItemName.TrapsightPotion,危险感药水
Items.ItemName.MoltenGreaves,熔岩护胫
Items.ItemName.PurpleClubberfish,紫挥棒鱼
Items.ItemName.ObsidianSwordfish,黑曜石剑鱼
Items.ItemName.Swordfish,剑鱼
Items.ItemName.IronFence,铁栅栏
Items.ItemName.WoodenCrate,木匣
Items.ItemName.IronCrate,铁匣
Items.ItemName.GoldenCrate,金匣
Items.ItemName.OldShoe,旧鞋
Items.ItemName.FishingSeaweed,海草
Items.ItemName.TinCan,锡罐
Items.ItemName.MeteorShot,流星弹
Items.ItemName.ReaverShark,掠夺鲨
Items.ItemName.SawtoothShark,锯齿鲨
Items.ItemName.Minecart,矿车
Items.ItemName.AmmoReservationPotion,弹药储备药水
Items.ItemName.LifeforcePotion,生命力药水
Items.ItemName.EndurancePotion,耐力药水
Items.ItemName.RagePotion,暴怒药水
Items.ItemName.InfernoPotion,狱火药水
Items.ItemName.WrathPotion,怒气药水
Items.ItemName.StickyBomb,粘性炸弹
Items.ItemName.RecallPotion,回忆药水
Items.ItemName.TeleportationPotion,传送药水
Items.ItemName.LovePotion,爱情药水
Items.ItemName.StinkPotion,臭味药水
Items.ItemName.FishingPotion,钓鱼药水
Items.ItemName.SonarPotion,声纳药水
Items.ItemName.CratePotion,宝匣药水
Items.ItemName.ShiverthornSeeds,寒颤棘种子
Items.ItemName.Shiverthorn,寒颤棘
Items.ItemName.WarmthPotion,保暖药水
Items.ItemName.BlackLens,黑晶状体
Items.ItemName.FishHook,鱼钩
Items.ItemName.BeeHeadgear,蜜蜂头饰
Items.ItemName.BeeBreastplate,蜜蜂胸甲
Items.ItemName.BeeGreaves,蜜蜂护胫
Items.ItemName.HornetStaff,黄蜂法杖
Items.ItemName.ImpStaff,小鬼法杖
Items.ItemName.QueenSpiderStaff,蜘蛛女王法杖
Items.ItemName.AnglerHat,渔夫帽
Items.ItemName.AnglerVest,渔夫背心
Items.ItemName.AnglerPants,渔夫裤
Items.ItemName.Sunglasses,墨镜
Items.ItemName.SpiderMask,蜘蛛面具
Items.ItemName.SpiderBreastplate,蜘蛛胸甲
Items.ItemName.SpiderGreaves,蜘蛛护胫
Items.ItemName.HighTestFishingLine,优质钓鱼线
Items.ItemName.AnglerEarring,渔夫耳环
Items.ItemName.TackleBox,钓具箱
Items.ItemName.BlueDungeonPiano,蓝地牢钢琴
Items.ItemName.GreenDungeonPiano,绿地牢钢琴
Items.ItemName.PinkDungeonPiano,粉地牢钢琴
Items.ItemName.GoldenPiano,金钢琴
Items.ItemName.WizardHat,巫师帽
Items.ItemName.ObsidianPiano,黑曜石钢琴
Items.ItemName.BonePiano,骨头钢琴
Items.ItemName.CactusPiano,仙人掌钢琴
Items.ItemName.SpookyPiano,阴森钢琴
Items.ItemName.SkywarePiano,天域钢琴
Items.ItemName.LihzahrdPiano,丛林蜥蜴钢琴
Items.ItemName.BlueDungeonDresser,蓝地牢梳妆台
Items.ItemName.GreenDungeonDresser,绿地牢梳妆台
Items.ItemName.PinkDungeonDresser,粉地牢梳妆台
Items.ItemName.GoldenDresser,金梳妆台
Items.ItemName.TopHat,高顶礼帽
Items.ItemName.ObsidianDresser,黑曜石梳妆台
Items.ItemName.BoneDresser,骨头梳妆台
Items.ItemName.CactusDresser,仙人掌梳妆台
Items.ItemName.SpookyDresser,阴森梳妆台
Items.ItemName.SkywareDresser,天域梳妆台
Items.ItemName.HoneyDresser,蜂蜜梳妆台
Items.ItemName.LihzahrdDresser,丛林蜥蜴梳妆台
Items.ItemName.Sofa,沙发
Items.ItemName.EbonwoodSofa,乌木沙发
Items.ItemName.RichMahoganySofa,红木沙发
Items.ItemName.WoodenSword,木剑
Items.ItemName.TuxedoShirt,西装衣
Items.ItemName.PearlwoodSofa,珍珠木沙发
Items.ItemName.ShadewoodSofa,暗影木沙发
Items.ItemName.BlueDungeonSofa,蓝地牢沙发
Items.ItemName.GreenDungeonSofa,绿地牢沙发
Items.ItemName.PinkDungeonSofa,粉地牢沙发
Items.ItemName.GoldenSofa,金沙发
Items.ItemName.ObsidianSofa,黑曜石沙发
Items.ItemName.BoneSofa,骨头沙发
Items.ItemName.CactusSofa,仙人掌沙发
Items.ItemName.SpookySofa,阴森沙发
Items.ItemName.TuxedoPants,西装裤
Items.ItemName.SkywareSofa,天域沙发
Items.ItemName.HoneySofa,蜂蜜沙发
Items.ItemName.SteampunkSofa,蒸汽朋克沙发
Items.ItemName.MushroomSofa,蘑菇沙发
Items.ItemName.GlassSofa,玻璃沙发
Items.ItemName.PumpkinSofa,南瓜沙发
Items.ItemName.LihzahrdSofa,丛林蜥蜴沙发
Items.ItemName.SeashellHairpin,贝壳发夹
Items.ItemName.MermaidAdornment,美人鱼饰品
Items.ItemName.MermaidTail,美人鱼鱼尾裤
Items.ItemName.SummerHat,夏日草帽
Items.ItemName.ZephyrFish,和风鱼
Items.ItemName.Fleshcatcher,捕肉手
Items.ItemName.HotlineFishingHook,熔线钓钩
Items.ItemName.FrogLeg,蛙腿
Items.ItemName.Anchor,锚
Items.ItemName.CookedFish,熟鱼
Items.ItemName.CookedShrimp,熟虾
Items.ItemName.Sashimi,生鱼片
Items.ItemName.BunnyHood,兔兔兜帽
Items.ItemName.BeeWax,蜂蜡
Items.ItemName.CopperPlatingWall,镀铜墙
Items.ItemName.StoneSlabWall,石板墙
Items.ItemName.Sail,船帆
Items.ItemName.CoralstoneBlock,珊瑚石块
Items.ItemName.BlueJellyfish,蓝水母
Items.ItemName.GreenJellyfish,绿水母
Items.ItemName.PinkJellyfish,粉水母
Items.ItemName.BlueJellyfishJar,蓝水母罐
Items.ItemName.PlumbersHat,管道工帽
Items.ItemName.GreenJellyfishJar,绿水母罐
Items.ItemName.PinkJellyfishJar,粉水母罐
Items.ItemName.PlumbersShirt,管道工衣
Items.ItemName.Batfish,蝙蝠鱼
Items.ItemName.BumblebeeTuna,大黄蜂金枪鱼
Items.ItemName.Catfish,鲶鱼
Items.ItemName.Cloudfish,云鱼
Items.ItemName.Cursedfish,诅咒鱼
Items.ItemName.Dirtfish,土鱼
Items.ItemName.DynamiteFish,雷管鱼
Items.ItemName.EaterofPlankton,浮游噬鱼
Items.ItemName.FallenStarfish,坠落海星
Items.ItemName.TheFishofCthulu,克苏鲁鱼
Items.ItemName.PlumbersPants,管道工背带裤
Items.ItemName.Fishotron,骷髅鱼
Items.ItemName.Harpyfish,鸟妖鱼
Items.ItemName.Hungerfish,饥饿鱼
Items.ItemName.Ichorfish,灵液鱼
Items.ItemName.Jewelfish,珠宝鱼
Items.ItemName.MirageFish,幻影鱼
Items.ItemName.MutantFlinxfin,突变弗林鱼
Items.ItemName.Pengfish,企鹅鱼
Items.ItemName.Pixiefish,妖精鱼
Items.ItemName.Spiderfish,蜘蛛鱼
Items.ItemName.HerosHat,英雄帽
Items.ItemName.TundraTrout,苔原鳟鱼
Items.ItemName.UnicornFish,独角兽鱼
Items.ItemName.GuideVoodooFish,向导巫毒鱼
Items.ItemName.Wyverntail,飞龙尾
Items.ItemName.ZombieFish,僵尸鱼
Items.ItemName.AmanitaFungifin,毒菌鱼
Items.ItemName.Angelfish,天使鱼
Items.ItemName.BloodyManowar,血腥战神
Items.ItemName.Bonefish,骷髅鱼
Items.ItemName.Bunnyfish,兔兔鱼
Items.ItemName.HerosShirt,英雄衣
Items.ItemName.CapnTunabeard,金枪鱼须船长
Items.ItemName.Clownfish,小丑鱼
Items.ItemName.DemonicHellfish,恶魔地狱鱼
Items.ItemName.Derpfish,跳跳鱼
Items.ItemName.Fishron,猪龙鱼
Items.ItemName.InfectedScabbardfish,染病鞘鱼
Items.ItemName.Mudfish,泥鱼
Items.ItemName.Slimefish,史莱姆鱼
Items.ItemName.TropicalBarracuda,热带梭鱼
Items.ItemName.KingSlimeTrophy,史莱姆王纪念章
Items.ItemName.HerosPants,英雄裤
Items.ItemName.ShipInABottle,船舶瓶
Items.ItemName.KingSlimeMask,史莱姆王面具
Items.ItemName.FinWings,鳍翼
Items.ItemName.TreasureMap,宝藏地图
Items.ItemName.SeaweedPlanter,海草花盆
Items.ItemName.PillaginMePixels,海贼像素画
Items.ItemName.FishCostumeMask,鱼装面具
Items.ItemName.FishCostumeShirt,鱼装衣
Items.ItemName.WoodenDoor,木门
Items.ItemName.FishBowl,鱼缸
Items.ItemName.FishCostumeFinskirt,鱼装鳍裙
Items.ItemName.GingerBeard,姜须
Items.ItemName.ArchaeologistsHat,考古帽
Items.ItemName.ArchaeologistsJacket,考古夹克
Items.ItemName.ArchaeologistsPants,考古裤
Items.ItemName.OpticStaff,魔眼法杖
Items.ItemName.BlackThread,黑线
Items.ItemName.GreenThread,绿线
Items.ItemName.NinjaHood,忍者兜帽
Items.ItemName.NinjaShirt,忍者衣
Items.ItemName.NinjaPants,忍者裤
Items.ItemName.Leather,皮革
Items.ItemName.StoneWall,石墙
Items.ItemName.RedHat,红帽
Items.ItemName.Goldfish,金鱼
Items.ItemName.Robe,长袍
Items.ItemName.RobotHat,机器人帽
Items.ItemName.GoldCrown,金冠
Items.ItemName.HellfireArrow,狱炎箭
Items.ItemName.Sandgun,沙枪
Items.ItemName.GuideVoodooDoll,向导巫毒娃娃
Items.ItemName.DivingHelmet,潜水头盔
Items.ItemName.FamiliarShirt,便装衣
Items.ItemName.Acorn,橡实
Items.ItemName.FamiliarPants,便装裤
Items.ItemName.FamiliarWig,便装假发
Items.ItemName.DemonScythe,恶魔锄刀
Items.ItemName.NightsEdge,永夜刃
Items.ItemName.DarkLance,暗黑长戟
Items.ItemName.Coral,珊瑚
Items.ItemName.Cactus,仙人掌
Items.ItemName.Trident,三叉戟
Items.ItemName.SilverBullet,银子弹
Items.ItemName.ThrowingKnife,投刀
Items.ItemName.LesserHealingPotion,弱效治疗药水
Items.ItemName.Spear,长矛
Items.ItemName.Blowpipe,吹管
Items.ItemName.Glowstick,荧光棒
Items.ItemName.Seed,种子
Items.ItemName.WoodenBoomerang,木制回旋镖
Items.ItemName.Aglet,金属带扣
Items.ItemName.StickyGlowstick,粘性荧光棒
Items.ItemName.PoisonedKnife,毒刀
Items.ItemName.ObsidianSkinPotion,黑曜石皮药水
Items.ItemName.RegenerationPotion,再生药水
Items.ItemName.AngryTrapperBanner,愤怒捕手旗
Items.ItemName.ArmoredVikingBanner,装甲维京海盗旗
Items.ItemName.BlackSlimeBanner,黑史莱姆旗
Items.ItemName.LifeCrystal,生命水晶
Items.ItemName.SwiftnessPotion,敏捷药水
Items.ItemName.BlueArmoredBonesBanner,蓝装甲骷髅旗
Items.ItemName.BlueCultistArcherBanner,蓝邪教徒弓箭手旗
Items.ItemName.BlueCultistCasterBanner,拜月教忠教徒旗
Items.ItemName.BlueCultistFighterBanner,蓝邪教徒战士旗
Items.ItemName.BoneLeeBanner,骷髅李小龙旗
Items.ItemName.ClingerBanner,爬藤怪旗
Items.ItemName.CochinealBeetleBanner,胭脂虫旗
Items.ItemName.CorruptPenguinBanner,腐化企鹅旗
Items.ItemName.CorruptSlimeBanner,腐化史莱姆旗
Items.ItemName.CorruptorBanner,腐化者旗
Items.ItemName.GillsPotion,鱼鳃药水
Items.ItemName.CrimslimeBanner,猩红史莱姆旗
Items.ItemName.CursedSkullBanner,诅咒骷髅头旗
Items.ItemName.CyanBeetleBanner,青壳虫旗
Items.ItemName.DevourerBanner,吞噬怪旗
Items.ItemName.DiablolistBanner,魔教徒旗
Items.ItemName.DoctorBonesBanner,骷髅博士旗
Items.ItemName.DungeonSlimeBanner,地牢史莱姆旗
Items.ItemName.DungeonSpiritBanner,地牢幽魂旗
Items.ItemName.ElfArcherBanner,精灵弓箭手旗
Items.ItemName.ElfCopterBanner,精灵直升机旗
Items.ItemName.IronskinPotion,铁皮药水
Items.ItemName.EyezorBanner,眼怪旗
Items.ItemName.FlockoBanner,雪花怪旗
Items.ItemName.GhostBanner,鬼魂旗
Items.ItemName.GiantBatBanner,巨型蝙蝠旗
Items.ItemName.GiantCursedSkullBanner,巨型诅咒骷髅头旗
Items.ItemName.GiantFlyingFoxBanner,巨型飞狐旗
Items.ItemName.GingerbreadManBanner,姜饼人旗
Items.ItemName.GoblinArcherBanner,哥布林弓箭手旗
Items.ItemName.GreenSlimeBanner,绿史莱姆旗
Items.ItemName.HeadlessHorsemanBanner,无头骑士旗
Items.ItemName.ManaRegenerationPotion,魔力再生药水
Items.ItemName.HellArmoredBonesBanner,地狱装甲骷髅旗
Items.ItemName.HellhoundBanner,地狱犬旗
Items.ItemName.HoppinJackBanner,弹跳杰克南瓜灯旗
Items.ItemName.IceBatBanner,冰雪蝙蝠旗
Items.ItemName.IceGolemBanner,冰雪巨人旗
Items.ItemName.IceSlimeBanner,冰雪史莱姆旗
Items.ItemName.IchorStickerBanner,灵液黏黏怪旗
Items.ItemName.IlluminantBatBanner,夜明蝙蝠旗
Items.ItemName.IlluminantSlimeBanner,夜明史莱姆旗
Items.ItemName.JungleBatBanner,丛林蝙蝠旗
Items.ItemName.MagicPowerPotion,魔能药水
Items.ItemName.JungleSlimeBanner,丛林史莱姆旗
Items.ItemName.KrampusBanner,坎卜斯旗
Items.ItemName.LacBeetleBanner,紫胶虫旗
Items.ItemName.LavaBatBanner,熔岩蝙蝠旗
Items.ItemName.LavaSlimeBanner,熔岩史莱姆旗
Items.ItemName.MartianBrainscramblerBanner,火星扰脑怪旗
Items.ItemName.MartianDroneBanner,火星飞船旗
Items.ItemName.MartianEngineerBanner,火星工程师旗
Items.ItemName.MartianGigazapperBanner,火星电击怪旗
Items.ItemName.MartianGreyGruntBanner,火星灰咕噜兽旗
Items.ItemName.FeatherfallPotion,羽落药水
Items.ItemName.MartianOfficerBanner,火星军官旗
Items.ItemName.MartianRaygunnerBanner,火星激光枪手旗
Items.ItemName.MartianScutlixGunnerBanner,火星鳞甲怪枪手旗
Items.ItemName.MartianTeslaTurretBanner,火星特斯拉炮塔旗
Items.ItemName.MisterStabbyBanner,戳刺先生旗
Items.ItemName.MotherSlimeBanner,史莱姆之母旗
Items.ItemName.NecromancerBanner,死灵法师旗
Items.ItemName.NutcrackerBanner,胡桃夹士旗
Items.ItemName.PaladinBanner,圣骑士旗
Items.ItemName.PenguinBanner,企鹅旗
Items.ItemName.SpelunkerPotion,洞穴探险药水
Items.ItemName.PinkyBanner,粉史莱姆旗
Items.ItemName.PoltergeistBanner,胡闹鬼旗
Items.ItemName.PossessedArmorBanner,装甲幻影魔旗
Items.ItemName.PresentMimicBanner,礼物宝箱怪旗
Items.ItemName.PurpleSlimeBanner,紫史莱姆旗
Items.ItemName.RaggedCasterBanner,褴褛邪教徒法师旗
Items.ItemName.RainbowSlimeBanner,彩虹史莱姆旗
Items.ItemName.RavenBanner,乌鸦旗
Items.ItemName.RedSlimeBanner,红史莱姆旗
Items.ItemName.RuneWizardBanner,符文巫师旗
Items.ItemName.InvisibilityPotion,隐身药水
Items.ItemName.RustyArmoredBonesBanner,生锈装甲骷髅旗
Items.ItemName.ScarecrowBanner,稻草人旗
Items.ItemName.ScutlixBanner,鳞甲怪旗
Items.ItemName.SkeletonArcherBanner,骷髅弓箭手旗
Items.ItemName.SkeletonCommandoBanner,骷髅突击手旗
Items.ItemName.SkeletonSniperBanner,骷髅狙击手旗
Items.ItemName.SlimerBanner,恶翅史莱姆旗
Items.ItemName.SnatcherBanner,抓人草旗
Items.ItemName.SnowBallaBanner,巴拉雪人旗
Items.ItemName.SnowmanGangstaBanner,雪人暴徒旗
Items.ItemName.ShinePotion,光芒药水
Items.ItemName.SpikedIceSlimeBanner,尖刺冰雪史莱姆旗
Items.ItemName.SpikedJungleSlimeBanner,尖刺丛林史莱姆旗
Items.ItemName.SplinterlingBanner,树精旗
Items.ItemName.SquidBanner,乌贼旗
Items.ItemName.TacticalSkeletonBanner,骷髅特警旗
Items.ItemName.TheGroomBanner,僵尸新郎旗
Items.ItemName.TimBanner,蒂姆旗
Items.ItemName.UndeadMinerBanner,不死矿工旗
Items.ItemName.UndeadVikingBanner,亡灵维京海盗旗
Items.ItemName.WhiteCultistArcherBanner,白邪教徒弓箭手旗
Items.ItemName.NightOwlPotion,夜猫子药水
Items.ItemName.WhiteCultistCasterBanner,白邪教徒法师旗
Items.ItemName.WhiteCultistFighterBanner,白邪教徒战士旗
Items.ItemName.YellowSlimeBanner,黄史莱姆旗
Items.ItemName.YetiBanner,雪兽旗
Items.ItemName.ZombieElfBanner,僵尸精灵旗
Items.ItemName.StoneBlock,石块
Items.ItemName.DirtWall,土墙
Items.ItemName.BattlePotion,战斗药水
Items.ItemName.ThornsPotion,荆棘药水
Items.ItemName.WaterWalkingPotion,水上漂药水
Items.ItemName.ArcheryPotion,箭术药水
Items.ItemName.HunterPotion,狩猎药水
Items.ItemName.GravitationPotion,重力药水
Items.ItemName.GoldChest,金箱
Items.ItemName.DaybloomSeeds,太阳花种子
Items.ItemName.MoonglowSeeds,月光草种子
Items.ItemName.BlinkrootSeeds,闪耀根种子
Items.ItemName.Bottle,玻璃瓶
Items.ItemName.DeathweedSeeds,死亡草种子
Items.ItemName.WaterleafSeeds,幌菊种子
Items.ItemName.FireblossomSeeds,火焰花种子
Items.ItemName.Daybloom,太阳花
Items.ItemName.Moonglow,月光草
Items.ItemName.Blinkroot,闪耀根
Items.ItemName.Deathweed,死亡草
Items.ItemName.Waterleaf,幌菊
Items.ItemName.Fireblossom,火焰花
Items.ItemName.SharkFin,鲨鱼鳍
Items.ItemName.WoodenTable,木桌
Items.ItemName.Feather,羽毛
Items.ItemName.Tombstone,墓石
Items.ItemName.MimeMask,丑角面具
Items.ItemName.AntlionMandible,蚁狮上颚
Items.ItemName.IllegalGunParts,非法枪械部件
Items.ItemName.TheDoctorsShirt,博士衣
Items.ItemName.TheDoctorsPants,博士裤
Items.ItemName.GoldenKey,金钥匙
Items.ItemName.ShadowChest,暗影箱
Items.ItemName.ShadowKey,暗影钥匙
Items.ItemName.Furnace,熔炉
Items.ItemName.ObsidianBrickWall,黑曜石砖墙
Items.ItemName.JungleSpores,丛林孢子
Items.ItemName.Loom,织布机
Items.ItemName.Piano,钢琴
Items.ItemName.Dresser,梳妆台
Items.ItemName.Bench,长椅
Items.ItemName.Bathtub,浴缸
Items.ItemName.RedBanner,红旗
Items.ItemName.GreenBanner,绿旗
Items.ItemName.BlueBanner,蓝旗
Items.ItemName.WoodenChair,木椅
Items.ItemName.YellowBanner,黄旗
Items.ItemName.LampPost,灯柱
Items.ItemName.TikiTorch,提基火把
Items.ItemName.Barrel,桶
Items.ItemName.ChineseLantern,中式灯笼
Items.ItemName.CookingPot,烹饪锅
Items.ItemName.Safe,保险箱
Items.ItemName.SkullLantern,骷髅头灯笼
Items.ItemName.TrashCan,垃圾桶
Items.ItemName.PlatinumBow,铂金弓
Items.ItemName.PlatinumHammer,铂金锤
Items.ItemName.PlatinumAxe,铂金斧
Items.ItemName.PlatinumShortsword,铂金短剑
Items.ItemName.PlatinumBroadsword,铂金宽剑
Items.ItemName.PlatinumPickaxe,铂金镐
Items.ItemName.TungstenBow,钨弓
Items.ItemName.TungstenHammer,钨锤
Items.ItemName.TungstenAxe,钨斧
Items.ItemName.TungstenShortsword,钨短剑
Items.ItemName.Candelabra,烛台
Items.ItemName.TungstenBroadsword,钨宽剑
Items.ItemName.TungstenPickaxe,钨镐
Items.ItemName.LeadBow,铅弓
Items.ItemName.LeadHammer,铅锤
Items.ItemName.LeadAxe,铅斧
Items.ItemName.LeadShortsword,铅短剑
Items.ItemName.LeadBroadsword,铅宽剑
Items.ItemName.LeadPickaxe,铅镐
Items.ItemName.TinBow,锡弓
Items.ItemName.TinHammer,锡锤
Items.ItemName.IronAnvil,铁砧
Items.ItemName.PinkVase,粉花瓶
Items.ItemName.TinAxe,锡斧
Items.ItemName.TinShortsword,锡短剑
Items.ItemName.TinBroadsword,锡宽剑
Items.ItemName.TinPickaxe,锡镐
Items.ItemName.CopperBow,铜弓
Items.ItemName.CopperHammer,铜锤
Items.ItemName.CopperAxe,铜斧
Items.ItemName.CopperShortsword,铜短剑
Items.ItemName.CopperBroadsword,铜阔剑
Items.ItemName.CopperPickaxe,铜镐
Items.ItemName.Mug,玻璃杯
Items.ItemName.SilverBow,银弓
Items.ItemName.SilverHammer,银锤
Items.ItemName.SilverAxe,银斧
Items.ItemName.SilverShortsword,银短剑
Items.ItemName.SilverBroadsword,银阔剑
Items.ItemName.SilverPickaxe,银镐
Items.ItemName.GoldBow,金弓
Items.ItemName.GoldHammer,金锤
Items.ItemName.GoldAxe,金斧
Items.ItemName.GoldShortsword,金短剑
Items.ItemName.Keg,酒桶
Items.ItemName.GoldBroadsword,金阔剑
Items.ItemName.GoldPickaxe,金镐
Items.ItemName.Ale,麦芽酒
Items.ItemName.Bookcase,书架
Items.ItemName.Throne,王座
Items.ItemName.Bowl,碗
Items.ItemName.BowlofSoup,鱼菇汤
Items.ItemName.Toilet,马桶
Items.ItemName.GrandfatherClock,落地大摆钟
Items.ItemName.WorkBench,工作台
Items.ItemName.ArmorStatue,盔甲雕像
Items.ItemName.GoblinBattleStandard,哥布林战旗
Items.ItemName.TatteredCloth,破布
Items.ItemName.Sawmill,锯木机
Items.ItemName.CobaltOre,钴矿
Items.ItemName.MythrilOre,秘银矿
Items.ItemName.AdamantiteOre,精金矿
Items.ItemName.Pwnhammer,神锤
Items.ItemName.Excalibur,断钢剑
Items.ItemName.HallowedSeeds,圣种
Items.ItemName.Goggles,护目镜
Items.ItemName.EbonsandBlock,黑檀沙块
Items.ItemName.CobaltHat,钴帽
Items.ItemName.CobaltHelmet,钴头盔
Items.ItemName.CobaltMask,钴面具
Items.ItemName.CobaltBreastplate,钴胸甲
Items.ItemName.CobaltLeggings,钴护腿
Items.ItemName.MythrilHood,秘银兜帽
Items.ItemName.MythrilHelmet,秘银头盔
Items.ItemName.MythrilHat,秘银帽
Items.ItemName.MythrilChainmail,秘银链甲
Items.ItemName.Lens,晶状体
Items.ItemName.MythrilGreaves,秘银护胫
Items.ItemName.CobaltBar,钴锭
Items.ItemName.MythrilBar,秘银锭
Items.ItemName.CobaltChainsaw,钴链锯
Items.ItemName.MythrilChainsaw,秘银链锯
Items.ItemName.CobaltDrill,钴钻头
Items.ItemName.MythrilDrill,秘银钻头
Items.ItemName.AdamantiteChainsaw,精金链锯
Items.ItemName.AdamantiteDrill,精金钻头
Items.ItemName.DaoofPow,太极连枷
Items.ItemName.WoodenBow,木弓
Items.ItemName.MythrilHalberd,秘银长戟
Items.ItemName.AdamantiteBar,精金锭
Items.ItemName.GlassWall,玻璃墙
Items.ItemName.Compass,罗盘
Items.ItemName.DivingGear,潜水装备
Items.ItemName.GPS,全球定位系统
